Country,series,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
East Asia & Pacific (IDA & IBRD countries),primary_male,110.94376373291,111.517433166504,109.993782043457,108.442070007324,106.939208984375,105.384872436523,104.64289855957,105.29044342041,105.560852050781,105.656890869141,104.84171295166,104.986839294434,105.353668212891,104.711517333984,101.75456237793,101.103233337402,100.870887756348,100.710922241211,100.238189697266,99.8860092163086,100.115646362305
East Asia & Pacific (IDA & IBRD countries),tertiary_male,11.7458400726318,13.1288404464722,14.7336797714233,16.7311191558838,18.2882595062256,19.6385498046875,20.631799697876,21.1816692352295,21.7626094818115,22.8690299987793,24.3569602966309,25.677339553833,27.3558006286621,29.370210647583,35.8910102844238,38.0108108520508,39.2598609924316,39.9493789672852,40.7476997375488,42.6988983154297,46.2916984558105
East Asia & Pacific (excluding high income),primary_female,111.028907775879,112.052436828613,110.422286987305,108.916831970215,107.68985748291,105.815010070801,104.971229553223,105.346038818359,105.700973510742,105.49144744873,105.385513305664,105.526626586914,105.43399810791,104.953857421875,101.890731811523,100.947227478027,100.83757019043,100.600486755371,100.073532104492,99.6962280273438,99.9066925048828
East Asia & Pacific (excluding high income),tertiary_female,10.5925102233887,11.513970375061,13.4913301467896,15.3802604675293,17.3139095306396,18.7249507904053,20.5230007171631,21.994270324707,22.9637298583984,24.5678691864014,26.5051593780518,28.2406902313232,30.9237499237061,33.894401550293,42.0842208862305,45.072078704834,47.4083786010742,48.2547798156738,49.3994789123535,51.8279113769531,55.0608100891113
East Asia & Pacific (excluding high income),primary_male,110.859527587891,111.424652099609,109.911102294922,108.370697021484,106.886779785156,105.345649719238,104.610427856445,105.252212524414,105.520416259766,105.616073608398,104.799758911133,104.935363769531,105.291572570801,104.647888183594,101.695892333984,101.042419433594,100.803901672363,100.63720703125,100.160278320312,99.8130264282227,100.041488647461
East Asia & Pacific (excluding high income),secondary_female,57.4583702087402,59.6201210021973,60.7778282165527,62.4713592529297,65.5361480712891,67.9784088134766,71.2711868286133,75.1587600708008,78.0776062011719,82.513557434082,83.5061721801758,85.043327331543,85.8580169677734,86.7732620239258,86.4382019042969,86.6689224243164,86.1764984130859,86.3374404907227,87.1004104614258,88.7187194824219,89.6240463256836
East Asia & Pacific (excluding high income),tertiary_male,12.0690898895264,13.4314699172974,15.0177402496338,16.9921798706055,18.5291690826416,19.8611907958984,20.8411598205566,21.3816604614258,21.9539604187012,23.0468502044678,24.5189304351807,25.8268508911133,27.4817199707031,29.4670505523682,35.8995018005371,37.9815406799316,39.2108383178711,39.8875617980957,40.671630859375,42.5970916748047,46.1428108215332
East Asia & Pacific (excluding high income),tertiary,11.3488101959228,12.4969301223755,14.2745199203491,16.2081909179688,17.9389495849609,19.3102798461914,20.6872100830078,21.6776599884033,22.4409999847412,23.7790603637695,25.4730396270752,26.9844398498535,29.1287307739258,31.580940246582,38.8466682434082,41.3544311523438,43.1053314208984,43.858829498291,44.811351776123,46.9729614257812,50.3684883117676
East Asia & Pacific (excluding high income),primary,110.940551757812,111.72444152832,110.154830932617,108.63069152832,107.267608642578,105.567909240723,104.781066894531,105.296531677246,105.605628967285,105.557289123535,105.075889587402,105.213920593262,105.358627319336,104.791893005371,101.787551879883,100.997650146484,100.81974029541,100.619926452637,100.119400024414,99.757926940918,99.9778518676758
East Asia & Pacific (excluding high income),secondary_male,60.0642890930176,61.9058685302734,62.654239654541,63.9439811706543,66.1206893920898,67.7316131591797,70.2819290161133,73.7440872192383,76.2047119140625,79.9246215820312,82.3833465576172,83.6619262695312,83.8651428222656,84.8973693847656,83.9798965454102,84.2272491455078,83.5297317504883,83.8926086425781,84.6805725097656,86.5125427246094,87.7680282592773
East Asia & Pacific (excluding high income),secondary,58.803581237793,60.8021697998047,61.7501411437988,63.2360382080078,65.840217590332,67.8498001098633,70.7548065185547,74.4192199707031,77.0969085693359,81.1558380126953,82.9164581298828,84.3170776367188,84.8089904785156,85.7846832275391,85.1415786743164,85.3801116943359,84.7789535522461,85.0468063354492,85.8236083984375,87.5550308227539,88.6450271606445
Ecuador,primary_male,107.687568664551,108.06282043457,108.80590057373,108.424026489258,108.097213745117,108.192886352539,108.439071655273,109.830200195312,107.111343383789,112.394142150879,108.705536632876,108.248623805254,105.381882061724,104.299703311237,105.414629509716,100.699188537347,98.3559114094412,97.424614741785,97.9121982841411,97.1356942156768,96.9782326418354
Ecuador,primary,107.411689758301,108.008460998535,108.658729553223,108.234580993652,107.823509216309,107.851249694824,108.028701782227,109.574661254883,107.735610961914,112.422248840332,108.529831519835,108.222664680389,105.657930195512,104.495253899633,105.59687272731,101.055189173942,98.960813930118,98.1861872199016,98.8828234359272,98.3159782205083,98.1163823787708
Ecuador,primary_female,107.126136779785,107.952209472656,108.506446838379,108.038566589355,107.540298461914,107.497657775879,107.603790283203,109.309913635254,108.382797241211,112.45142364502,108.347267219808,108.195651218793,105.945686113137,104.699421941348,105.787429820865,101.427921330087,99.5948079703705,98.9847170340761,99.9003693674609,99.5528296638502,99.3085117206032
