economy,series,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
AFG,SE.PRM.ENRR.MA,,,,,,,,,,,53.6909294128418,55.4016304016113,55.9390106201172,56.3519287109375,57.3139305114746,58.4549217224121,59.5716400146484,60.3377494812012,62.0311088562012,,70.6819000244141,79.3669204711914,26.7844390869141,,33.4359512329102,33.874641418457,34.6519012451172,,45.364688873291,41.6640396118164,40.0961494445801,41.0024185180664,,50.2643585205078,60.0211486816406,63.5347595214844,,,,47.7320213317871,42.0252113342285,43.347900390625,100.316429138184,121.708023071289,146.238525390625,125.132736206055,125.48087310791,122.418601989746,126.83984375,119.475723266602,122.387077331543,117.800979614258,123.121421813965,125.977630615234,128.515670776367,126.134391784668,126.238311767578,126.160003662109,128.190673828125,129.512435913086,,,,,
AFG,SE.SEC.ENRR,,,,,,,,,,,8.36410045623779,9.37827014923096,10.4142398834228,10.9321804046631,11.0948801040649,11.5955896377563,12.4582595825195,13.2592697143555,13.8213396072388,,16.732780456543,20.0920791625977,12.295000076294,,13.6493997573853,13.4969701766968,12.1385698318481,,13.2139596939087,12.6811199188232,11.0395498275757,17.1836109161377,,17.4169101715088,23.4685802459717,23.0545196533203,,,,,,14.0404100418091,,13.959529876709,19.2143802642822,20.2735099792481,29.523889541626,28.8154907226562,38.930850982666,44.2999496459961,50.4406204223633,52.4474296569824,54.372859954834,54.8833694458008,54.2936515808105,53.1501083374023,53.4350395202637,55.5364303588867,57.3578491210938,,,,,,
AFG,SE.SEC.ENRR.FE,,,,,,,,,,,2.22708988189697,2.34920001029968,2.39430999755859,2.68257999420166,2.66510009765625,2.8253800868988,3.23304009437561,3.83791995048523,4.13555002212524,,,8.09313011169434,7.44450998306274,,8.38403987884521,8.19388008117676,7.83465003967285,,8.45858001708984,,,11.251070022583,,9.15800952911377,9.74174976348877,11.9397897720337,,,,,,0.0,,6.96920013427734,6.38919019699097,9.67969036102295,15.3283004760742,15.3513603210449,22.7884502410889,28.3175792694092,33.0262413024902,36.9816284179688,38.5514297485352,38.722900390625,38.5330581665039,37.8227882385254,38.5832786560059,39.937858581543,41.3507118225098,,,,,,
AFG,SE.SEC.ENRR.MA,,,,,,,,,,,14.3338203430176,16.2110900878906,18.2052097320557,18.94162940979,19.2751197814941,20.1019401550293,21.4016799926758,22.389310836792,23.2040901184082,,,31.7285003662109,16.9997901916504,,18.7667293548584,18.6641902923584,16.3378505706787,,17.8365001678467,,,22.9097499847412,,25.3718109130859,36.6668701171875,33.7318992614746,,,,,,27.5238704681396,,20.6670799255371,31.5132808685303,30.4265899658203,43.1234703063965,41.7095108032227,54.385311126709,59.5962791442871,67.0962295532227,67.2269515991211,69.4783020019531,70.2932281494141,69.3047866821289,67.7319869995117,67.5515823364258,70.3545913696289,72.5660171508789,,,,,,
AFG,SE.TER.ENRR,,,,,,,,,,,0.769559979438782,0.928269982337952,0.959540009498596,1.10443997383118,1.03191995620727,1.12305998802185,1.26918995380402,1.40902996063232,1.80000996589661,1.91846001148224,,,2.01694989204407,,,,2.19022011756897,1.71459996700287,,,2.21519994735718,,,,,,,,,,,,,1.37434995174408,1.39064002037048,,,,,3.93815994262695,,3.68686008453369,,,8.39764022827148,,,,9.99592018127441,,10.85435962677,,,,
AFG,SE.TER.ENRR.FE,,,,,,,,,,,0.225950002670288,,0.257420003414154,0.345169991254807,0.285959988832474,0.312909990549088,0.353989988565445,0.582849979400635,0.67918998003006,0.591929972171783,,,,,,,0.607609987258911,,,,1.35643994808197,,,,,,,,,,,,,0.571370005607605,0.578159987926483,,,,,1.4480299949646,,1.8252899646759,,,3.49629998207092,,,,5.02065992355347,,5.93654012680054,,,,
AFG,SE.TER.ENRR.MA,,,,,,,,,,,1.31308996677399,,1.65443003177643,1.8461400270462,1.75556004047394,1.90855002403259,2.15600991249085,2.20908999443054,2.88474988937378,3.2042601108551,,,,,,,3.80376005172729,,,,3.07834005355835,,,,,,,,,,,,,2.14711999893189,2.17249989509583,,,,,6.33436012268066,,5.47669982910156,,,13.104100227356,,,,14.7765998840332,,15.5847797393799,,,,
AFW,SE.PRM.ENRR,,,,,,,,,,,43.0726509094238,44.6707305908203,46.6416091918945,48.1077194213867,48.2149810791016,48.6604881286621,49.1612701416016,54.8492889404297,62.7575912475586,69.6812896728516,72.7487106323242,76.7117919921875,81.4873733520508,81.6516876220703,80.7616500854492,78.2972106933594,72.1410522460938,70.6258926391602,68.9551010131836,68.1996536254883,69.5151977539062,69.6713333129883,71.4829177856445,73.7167282104492,74.1205291748047,72.7533569335938,68.1346969604492,71.7735214233398,74.614387512207,77.4401473999023,80.5795135498047,81.1157913208008,82.8384094238281,83.5836715698242,85.4685897827148,86.3789825439453,87.1062622070312,84.3852386474609,81.9908599853516,83.7195510864258,84.4784698486328,87.8220062255859,89.4396514892578,90.5897598266602,89.1206970214844,87.0966186523438,86.6979904174805,86.7825393676758,86.6523513793945,87.5555572509766,88.1576232910156,88.094856262207,89.5019226074219,90.8780364990234,91.0609893798828
AFW,SE.PRM.ENRR.FE,,,,,,,,,,,32.5573616027832,34.3469390869141,36.4150085449219,38.0477981567383,38.3189811706543,38.7095108032227,39.3360404968262,45.1954002380371,52.5699501037598,58.5935707092285,61.683521270752,65.454963684082,69.421142578125,69.2302398681641,68.6398315429688,67.4263687133789,62.3161392211914,61.0261917114258,58.1600494384766,59.5626106262207,59.4564781188965,60.1164283752441,62.3116188049316,63.9776000976562,64.6731262207031,63.9466094970703,60.3274612426758,63.4343910217285,65.7666778564453,68.1017303466797,71.4281768798828,72.4831008911133,74.1047286987305,75.2953186035156,77.389030456543,78.62255859375,80.0140228271484,78.3549194335938,76.4313812255859,78.4203033447266,79.7003021240234,83.7380523681641,86.4632720947266,87.7490921020508,86.623908996582,84.5517883300781,83.6496429443359,84.1819534301758,84.5205307006836,85.7524185180664,86.6695709228516,86.7731704711914,88.0174407958984,89.2489776611328,89.6820220947266
AFW,SE.PRM.ENRR.MA,,,,,,,,,,,53.6860198974609,55.0798606872559,56.9387283325195,58.2202796936035,58.1458396911621,58.6279296875,58.9846611022949,64.4832382202148,72.9099197387695,80.7176513671875,83.7518692016602,87.8928833007812,93.4590835571289,93.9616775512695,92.7598724365234,89.0439682006836,81.8416213989258,80.0947723388672,79.5943298339844,76.7061233520508,79.4148712158203,79.0696182250977,80.5001907348633,83.288818359375,83.4032974243164,81.4042816162109,75.8011932373047,79.9577331542969,83.2928695678711,86.5921936035156,89.5402526855469,89.5624771118164,91.3788375854492,91.6851425170898,93.3617935180664,93.9539413452148,94.0319366455078,90.2734909057617,87.4185104370117,88.8881912231445,89.1337890625,91.7974090576172,92.3349533081055,93.351676940918,91.5471572875977,89.569938659668,89.6603698730469,89.3093109130859,88.7229919433594,89.3064727783203,89.6025772094727,89.3786163330078,90.9440765380859,92.4607009887695,92.4012222290039
